trading_day,expiration_day,strike,ticker
2020-01-17,2020-02-21,310000,AAPL
2020-01-17,2020-02-21,315000,AAPL
2020-01-17,2020-02-21,320000,AAPL
2020-01-17,2020-02-21,330000,AAPL
2020-01-17,2020-02-21,340000,AAPL
2020-01-17,2020-02-21,350000,AAPL
2020-01-17,2020-02-21,360000,AAPL
2020-01-17,2020-02-21,370000,AAPL
2020-02-21,2020-03-20,295000,AAPL
2020-02-21,2020-03-20,300000,AAPL
2020-02-21,2020-03-20,305000,AAPL
2020-02-21,2020-03-20,310000,AAPL
2020-02-21,2020-03-20,315000,AAPL
2020-02-21,2020-03-20,320000,AAPL
2020-02-21,2020-03-20,330000,AAPL
2020-02-21,2020-03-20,340000,AAPL
2020-02-21,2020-03-20,350000,AAPL
2020-02-21,2020-03-20,360000,AAPL
2020-02-21,2020-03-20,370000,AAPL
2020-03-20,2020-04-17,235000,AAPL
2020-03-20,2020-04-17,237500,AAPL
2020-03-20,2020-04-17,240000,AAPL
2020-03-20,2020-04-17,242500,AAPL
2020-03-20,2020-04-17,245000,AAPL
2020-03-20,2020-04-17,250000,AAPL
2020-03-20,2020-04-17,255000,AAPL
2020-03-20,2020-04-17,260000,AAPL
2020-03-20,2020-04-17,265000,AAPL
2020-03-20,2020-04-17,270000,AAPL
2020-03-20,2020-04-17,275000,AAPL
2020-04-17,2020-05-15,260000,AAPL
2020-04-17,2020-05-15,265000,AAPL
2020-04-17,2020-05-15,270000,AAPL
2020-04-17,2020-05-15,275000,AAPL
2020-04-17,2020-05-15,280000,AAPL
2020-04-17,2020-05-15,285000,AAPL
2020-04-17,2020-05-15,290000,AAPL
2020-04-17,2020-05-15,295000,AAPL
2020-04-17,2020-05-15,300000,AAPL
2020-04-17,2020-05-15,305000,AAPL
2020-04-17,2020-05-15,310000,AAPL
2020-05-15,2020-06-19,285000,AAPL
2020-05-15,2020-06-19,290000,AAPL
2020-05-15,2020-06-19,295000,AAPL
2020-05-15,2020-06-19,300000,AAPL
2020-05-15,2020-06-19,305000,AAPL
2020-05-15,2020-06-19,310000,AAPL
2020-05-15,2020-06-19,315000,AAPL
2020-05-15,2020-06-19,320000,AAPL
2020-05-15,2020-06-19,330000,AAPL
2020-05-15,2020-06-19,340000,AAPL
2020-05-15,2020-06-19,350000,AAPL
2020-06-19,2020-07-17,315000,AAPL
2020-06-19,2020-07-17,320000,AAPL
2020-06-19,2020-07-17,330000,AAPL
2020-06-19,2020-07-17,340000,AAPL
2020-06-19,2020-07-17,350000,AAPL
2020-06-19,2020-07-17,360000,AAPL
2020-06-19,2020-07-17,370000,AAPL
2020-07-17,2020-08-21,330000,AAPL
2020-07-17,2020-08-21,340000,AAPL
2020-07-17,2020-08-21,350000,AAPL
2020-07-17,2020-08-21,360000,AAPL
2020-07-17,2020-08-21,370000,AAPL
2020-08-21,2020-09-18,330000,AAPL
2020-08-21,2020-09-18,340000,AAPL
2020-08-21,2020-09-18,350000,AAPL
2020-08-21,2020-09-18,360000,AAPL
2020-08-21,2020-09-18,370000,AAPL
2020-09-18,2020-10-16,85000,AAPL
2020-09-18,2020-10-16,90000,AAPL
2020-09-18,2020-10-16,95000,AAPL
2020-09-18,2020-10-16,100000,AAPL
2020-09-18,2020-10-16,105000,AAPL
2020-09-18,2020-10-16,110000,AAPL
2020-09-18,2020-10-16,115000,AAPL
2020-09-18,2020-10-16,120000,AAPL
2020-09-18,2020-10-16,125000,AAPL
2020-09-18,2020-10-16,130000,AAPL
2020-09-18,2020-10-16,135000,AAPL
2020-10-16,2020-11-20,100000,AAPL
2020-10-16,2020-11-20,105000,AAPL
2020-10-16,2020-11-20,110000,AAPL
2020-10-16,2020-11-20,115000,AAPL
2020-10-16,2020-11-20,120000,AAPL
2020-10-16,2020-11-20,125000,AAPL
2020-10-16,2020-11-20,130000,AAPL
2020-10-16,2020-11-20,135000,AAPL
2020-10-16,2020-11-20,140000,AAPL
2020-10-16,2020-11-20,145000,AAPL
2020-10-16,2020-11-20,150000,AAPL
2020-11-20,2020-12-18,95000,AAPL
2020-11-20,2020-12-18,100000,AAPL
2020-11-20,2020-12-18,105000,AAPL
2020-11-20,2020-12-18,110000,AAPL
2020-11-20,2020-12-18,115000,AAPL
2020-11-20,2020-12-18,120000,AAPL
2020-11-20,2020-12-18,125000,AAPL
2020-11-20,2020-12-18,130000,AAPL
2020-11-20,2020-12-18,135000,AAPL
2020-11-20,2020-12-18,140000,AAPL
2020-11-20,2020-12-18,145000,AAPL
2020-12-18,2021-01-15,105000,AAPL
2020-12-18,2021-01-15,110000,AAPL
2020-12-18,2021-01-15,115000,AAPL
2020-12-18,2021-01-15,120000,AAPL
2020-12-18,2021-01-15,125000,AAPL
2020-12-18,2021-01-15,130000,AAPL
2020-12-18,2021-01-15,135000,AAPL
2020-12-18,2021-01-15,140000,AAPL
2020-12-18,2021-01-15,145000,AAPL
2020-12-18,2021-01-15,150000,AAPL
2020-12-18,2021-01-15,155000,AAPL
2021-01-15,2021-02-19,105000,AAPL
2021-01-15,2021-02-19,110000,AAPL
2021-01-15,2021-02-19,115000,AAPL
2021-01-15,2021-02-19,120000,AAPL
2021-01-15,2021-02-19,125000,AAPL
2021-01-15,2021-02-19,130000,AAPL
2021-01-15,2021-02-19,135000,AAPL
2021-01-15,2021-02-19,140000,AAPL
2021-01-15,2021-02-19,145000,AAPL
2021-01-15,2021-02-19,150000,AAPL
2021-01-15,2021-02-19,155000,AAPL
2021-02-19,2021-03-19,105000,AAPL
2021-02-19,2021-03-19,110000,AAPL
2021-02-19,2021-03-19,115000,AAPL
2021-02-19,2021-03-19,120000,AAPL
2021-02-19,2021-03-19,125000,AAPL
2021-02-19,2021-03-19,130000,AAPL
2021-02-19,2021-03-19,135000,AAPL
2021-02-19,2021-03-19,140000,AAPL
2021-02-19,2021-03-19,145000,AAPL
2021-02-19,2021-03-19,150000,AAPL
2021-02-19,2021-03-19,155000,AAPL
2021-03-19,2021-04-16,100000,AAPL
2021-03-19,2021-04-16,105000,AAPL
2021-03-19,2021-04-16,110000,AAPL
2021-03-19,2021-04-16,115000,AAPL
2021-03-19,2021-04-16,120000,AAPL
2021-03-19,2021-04-16,125000,AAPL
2021-03-19,2021-04-16,130000,AAPL
2021-03-19,2021-04-16,135000,AAPL
2021-03-19,2021-04-16,140000,AAPL
2021-03-19,2021-04-16,145000,AAPL
2021-03-19,2021-04-16,150000,AAPL
2021-04-16,2021-05-21,110000,AAPL
2021-04-16,2021-05-21,115000,AAPL
2021-04-16,2021-05-21,120000,AAPL
2021-04-16,2021-05-21,125000,AAPL
2021-04-16,2021-05-21,130000,AAPL
2021-04-16,2021-05-21,135000,AAPL
2021-04-16,2021-05-21,140000,AAPL
2021-04-16,2021-05-21,145000,AAPL
2021-04-16,2021-05-21,150000,AAPL
2021-04-16,2021-05-21,155000,AAPL
2021-04-16,2021-05-21,160000,AAPL
2021-05-21,2021-06-18,105000,AAPL
2021-05-21,2021-06-18,110000,AAPL
2021-05-21,2021-06-18,115000,AAPL
2021-05-21,2021-06-18,120000,AAPL
2021-05-21,2021-06-18,125000,AAPL
2021-05-21,2021-06-18,130000,AAPL
2021-05-21,2021-06-18,135000,AAPL
2021-05-21,2021-06-18,140000,AAPL
2021-05-21,2021-06-18,145000,AAPL
2021-05-21,2021-06-18,150000,AAPL
2021-05-21,2021-06-18,155000,AAPL
2021-06-18,2021-07-16,110000,AAPL
2021-06-18,2021-07-16,115000,AAPL
2021-06-18,2021-07-16,120000,AAPL
2021-06-18,2021-07-16,125000,AAPL
2021-06-18,2021-07-16,130000,AAPL
2021-06-18,2021-07-16,135000,AAPL
2021-06-18,2021-07-16,140000,AAPL
2021-06-18,2021-07-16,145000,AAPL
2021-06-18,2021-07-16,150000,AAPL
2021-06-18,2021-07-16,155000,AAPL
2021-06-18,2021-07-16,160000,AAPL
2021-07-16,2021-08-20,125000,AAPL
2021-07-16,2021-08-20,130000,AAPL
2021-07-16,2021-08-20,135000,AAPL
2021-07-16,2021-08-20,140000,AAPL
2021-07-16,2021-08-20,145000,AAPL
2021-07-16,2021-08-20,150000,AAPL
2021-07-16,2021-08-20,155000,AAPL
2021-07-16,2021-08-20,160000,AAPL
2021-07-16,2021-08-20,165000,AAPL
2021-07-16,2021-08-20,170000,AAPL
2021-07-16,2021-08-20,175000,AAPL
2021-08-20,2021-09-17,125000,AAPL
2021-08-20,2021-09-17,130000,AAPL
2021-08-20,2021-09-17,135000,AAPL
2021-08-20,2021-09-17,140000,AAPL
2021-08-20,2021-09-17,145000,AAPL
2021-08-20,2021-09-17,150000,AAPL
2021-08-20,2021-09-17,155000,AAPL
2021-08-20,2021-09-17,160000,AAPL
2021-08-20,2021-09-17,165000,AAPL
2021-08-20,2021-09-17,170000,AAPL
2021-08-20,2021-09-17,175000,AAPL
2021-09-17,2021-10-15,125000,AAPL
2021-09-17,2021-10-15,130000,AAPL
2021-09-17,2021-10-15,135000,AAPL
2021-09-17,2021-10-15,140000,AAPL
2021-09-17,2021-10-15,145000,AAPL
2021-09-17,2021-10-15,150000,AAPL
2021-09-17,2021-10-15,155000,AAPL
2021-09-17,2021-10-15,160000,AAPL
2021-09-17,2021-10-15,165000,AAPL
2021-09-17,2021-10-15,170000,AAPL
2021-09-17,2021-10-15,175000,AAPL
2021-10-15,2021-11-19,120000,AAPL
2021-10-15,2021-11-19,125000,AAPL
2021-10-15,2021-11-19,130000,AAPL
2021-10-15,2021-11-19,135000,AAPL
2021-10-15,2021-11-19,140000,AAPL
2021-10-15,2021-11-19,145000,AAPL
2021-10-15,2021-11-19,150000,AAPL
2021-10-15,2021-11-19,155000,AAPL
2021-10-15,2021-11-19,160000,AAPL
2021-10-15,2021-11-19,165000,AAPL
2021-10-15,2021-11-19,170000,AAPL
2021-11-19,2021-12-17,135000,AAPL
2021-11-19,2021-12-17,140000,AAPL
2021-11-19,2021-12-17,145000,AAPL
2021-11-19,2021-12-17,150000,AAPL
2021-11-19,2021-12-17,155000,AAPL
2021-11-19,2021-12-17,160000,AAPL
2021-11-19,2021-12-17,165000,AAPL
2021-11-19,2021-12-17,170000,AAPL
2021-11-19,2021-12-17,175000,AAPL
2021-11-19,2021-12-17,180000,AAPL
2021-11-19,2021-12-17,185000,AAPL
2021-12-17,2022-01-21,150000,AAPL
2021-12-17,2022-01-21,155000,AAPL
2021-12-17,2022-01-21,160000,AAPL
2021-12-17,2022-01-21,165000,AAPL
2021-12-17,2022-01-21,170000,AAPL
2021-12-17,2022-01-21,175000,AAPL
2021-12-17,2022-01-21,180000,AAPL
2021-12-17,2022-01-21,185000,AAPL
2021-12-17,2022-01-21,187500,AAPL
2021-12-17,2022-01-21,190000,AAPL
2021-12-17,2022-01-21,192500,AAPL
2022-01-21,2022-02-18,140000,AAPL
2022-01-21,2022-02-18,145000,AAPL
2022-01-21,2022-02-18,150000,AAPL
2022-01-21,2022-02-18,155000,AAPL
2022-01-21,2022-02-18,160000,AAPL
2022-01-21,2022-02-18,165000,AAPL
2022-01-21,2022-02-18,170000,AAPL
2022-01-21,2022-02-18,175000,AAPL
2022-01-21,2022-02-18,180000,AAPL
2022-01-21,2022-02-18,185000,AAPL
2022-01-21,2022-02-18,187500,AAPL
2022-02-18,2022-03-18,145000,AAPL
2022-02-18,2022-03-18,150000,AAPL
2022-02-18,2022-03-18,155000,AAPL
2022-02-18,2022-03-18,160000,AAPL
2022-02-18,2022-03-18,165000,AAPL
2022-02-18,2022-03-18,170000,AAPL
2022-02-18,2022-03-18,175000,AAPL
2022-02-18,2022-03-18,180000,AAPL
2022-02-18,2022-03-18,185000,AAPL
2022-02-18,2022-03-18,187500,AAPL
2022-02-18,2022-03-18,190000,AAPL
2022-03-18,2022-05-20,140000,AAPL
2022-03-18,2022-05-20,145000,AAPL
2022-03-18,2022-05-20,150000,AAPL
2022-03-18,2022-05-20,155000,AAPL
2022-03-18,2022-05-20,160000,AAPL
2022-03-18,2022-05-20,165000,AAPL
2022-03-18,2022-05-20,170000,AAPL
2022-03-18,2022-05-20,175000,AAPL
2022-03-18,2022-05-20,180000,AAPL
2022-03-18,2022-05-20,185000,AAPL
2022-03-18,2022-05-20,187500,AAPL
